"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13357","12985","12737","12249","12154","11681","11777","11625","11698","11471","11379","11188",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"85910","83085","80976","78541","77554","76345","75075","75570","73932","73132","72380","71990",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13398","13150","12641","12127","11936","11800","11514","11148","11096","10985","10343","10197",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"192719","184100","183906","180903","181086","181413","178435","179561","177387","175794","174620","171942",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"108778","109045","106621","103562","102112","101807","101418","103123","102695","102320","101566","100520",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8473","8555","8578","8704","9103","9600","10022","10735","10586","10585","9974","9835",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"143122","140883","137203","131989","130939","131369","131819","132068","131683","130247","129148","127498",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"47732","47643","47189","46205","45496","45793","46037","46026","45631","44977","42702","42184",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"38916","38727","37304","36118","36197","36281","36510","36849","36910","36781","35033","33823",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"135084","133397","130773","128132","127816","127369","125678","126042","124479","122615","120503","118151",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7655","7628","8521","8524","8311","8169","8120","8038","8289","8040","7784","7669",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"56354","56589","54689","53113","52481","52354","52133","52769","53055","52046","51683","51289",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11768","11604","11449","11280","11328","11538","11713","11656","11760","11634","11502","11210",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"78211","77511","74716","72299","72511","73343","73072","74538","74280","73091","73238","72698",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"202716","202152","200100","196537","194578","199368","201513","209955","212089","209361","201472","199069",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"45819","45785","45109","44196","43533","42706","42145","42204","41361","41326","40299","37931",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6375","6250","6005","6133","5991","5873","5863","6015","5683","5511","5483","5275",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"93771","92263","91144","90430","89967","89965","88919","89665","89244","87915","86195","85340",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"70141","71280","70851","69113","69715","70689","70087","71868","71517","72091","69298","67691",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21653","21235","20960","20187","20424","20538","20530","19845","19354","18540","18163","17764",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"65825","65190","63860","61901","61030","60573","60063","60608","60195","59834","58299","57490",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6797","6828","6738","6470","6465","6639","6614","6702","6665","6267","5894","5560",,
"    By mother's marital status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Married (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2601186","2521128","2437007","2365915","2345817","2343222","2336308","2383206","2376970","2376079","2026569","2001492","1968356",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"39964","38800","36883","34880","34342","33578","33617","33701","33495","32701","31180","30745",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6935","7142","7021","7160","7239","7003","7495","7331","7211","7157","6746","6510",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"56396","54403","50637","48183","47316","47122","46725","47663","46489","46467","45160","44427",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23407","22511","21704","21075","21345","21022","20798","21586","21384","21238","20441","20217",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"346151","330211","313115","303625","299431","301729","298406","307919","300758","301976","686",,,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"52799","52587","51554","50485","49652","50167","50002","51082","51445","51632","49846","48271",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"27052","25678","24291","23596","23104","22684","22317","22808","22336","22727","22331","21842",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6471","6283","6046","5977","5788","5803","5651","5856","5995","5955","5686","5634",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3680","3851","3993","4146","4316","4596","4573","4738","4857","5087","4986","4926",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"128887","122909","115747","112762","111869","110987","112021","114569","117144","119485","118553","118750",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"85214","80000","77087","72548","72240","71432","70301","71531","72017","71647","71166","69192",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12072","12092","11733","11815","11852","11860","11909","11664","11582","11379","10734","10481",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18647","18779","17645","17040","16337","16672","16320","16509","16495","16276","15940","15617",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"108329","104863","101380","98293","96811","94863","93599","95001","94169","93153","89978","87845",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"51727","50298","48672","47813","47927","47279","47125","47671","47691","47643","47022","46336",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"26861","26084","25724","25461","25291","25246","25635","25738","25531","25602","24821","24593",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"26677","26041","25704","25303","24851","25528","24771","24925","25039","24357","23485","23068",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"36053","34588","33794","32818","32400","32770","32344","32625","32676","32516","31993","31302",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"32192","30692","30164","29110","29125","29333","29697","30491","30483","30295","28832","27835",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8600","8203","8004","7629","7395","7481","7539","7462","7503","7658","7503","7528",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"46122","44547","42982","42908","43002","43179","42908","44549","44094","44130","43276","43174",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"51945","50831","48958","47607","47807","47522","47761","48036","47592","47782","47356","46644",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"75919","72465","68889","66612","65770","65296","65360","66558","65780","66815","65640","65136",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"49601","48272","46944","45865","46014","45989","46404","47294","47352","47262","46660","45877",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21508","20461","19191","18109","18157","17505","17593","17801","17851","17755","17353","16994",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"48714","47876","46650","45923","45609","45143","44924","45068","44716","44952","43866","43748",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7979","7970","7813","7670","7664","7759","7742","7846","8010","7816","7552","7491",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17941","17849","17652","17215","17172","17307","17407","17954","17902","18006","17232","17198",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23893","22703","21288","20016","19699","19141","19165","19430","19364","18937","18352","18317",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9715","9188","8914","8599","8411","8090","8154","8155","8200","8137","8163","8048",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"76189","73248","71433","69092","67916","66585","66065","66659","66912","67143","66894","67001",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14766","14220","13490","13290","13295","12974","12642","12694","12363","12071","11472","11246",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"150353","146828","145060","142579","142024","142548","141762","144115","143540","144143","142474","141425",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"77110","75825","73180","70960","71152","70661","69703","71401","71295","71944","70943","70304",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5954","5935","6058","6127","6344","6828","7163","7679","7741","7784","7356","7243",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"87156","84299","80902","78225","78058","77764","78158","78847","78939","78765","77724","76788",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"32305","31636","31635","31006","30426","30452","30858","30827","30920","30367","29102","28780",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"32042","31372","30454","29291","29031","29091","28923","29097","29203","29238","27756","26833",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"90872","88323","86401","83832","83417","82808","82318","83885","82966","82729","81285","80340",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6927","6764","6322","6146","6085","5852","5992","5905","6036","5948","5961","5924",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"33576","32949","31749","30569","30375","29753","29916","30366","31096","31377","30723","30508",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7553","7437","7354","7374","7242","7433","7569","7651","7752","7749","7621","7599",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"49558","47864","45615","44433","44502","44895","44771","45691","45842","45579","45677","45583",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"241636","236236","231468","222470","218737","221619","223705","233012","236102","233496","225447","223883",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"44282","44284","43435","42240","41659","41850","41301","41657","41222","41074","39571","38106",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4127","3881","3695","3783","3679","3568","3572","3709","3528","3490","3390","3339",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"70584","68471","67431","66465","66240","66707","66850","68234","67739","67609","65593","65161",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"59476","59645","59339","57974","58421","59051","58222","60135","60414","61770","59844","59282",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13123","12480","11989","11475","11624","11504","11417","11190","11136","10495","10159","9908",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"46994","46001","44616","43353","42809","42180","41992","41750","41928","41804","40447","40118",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5152","5253","5202","4988","4845","5013","5146","5141","5135","4961","4591","4375",,
"        Unmarried (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1715047","1726566","1693658","1633471","1607773","1609619","1595873","1604870","1601527","1569796","1357325","1334274","1331707",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24840","25746","25592","25170","25012","24870","24550","25721","26162","26450","27755","27014",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4117","4300","4303","4311","4217","4184","3951","4061","4071","4052","3689","3559",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"46585","45039","42161","39294","38227","39319","38875","39224","38862","38053","36604","36180",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17971","18158","18104","17465","17370","17325","17034","16925","17502","17036","17072","16795",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"220263","221568","213905","206573","202689","202026","196299","194960","190990","186851","435",,,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18010","17444","17074","15870","15403","15020","15005","14748","15136","14981","14514","14598",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14608","14721","14605","14112","14177","13855","13768","13477","13410","13288","12886","12878",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5699","5807","5513","5387","5469","5220","5180","5116","5171","5037","5168","4987",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5184","5279","5047","5019","4979","4803","4715","4771","4721","4771","4567","4283",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"110278","108536","105647","101828","101545","102161","103386","105422","107125","105537","105023","102751",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"65923","66603","64290","61399","60169","58848","58447","59415","59387","58395","58060","56966",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7062","7392","7154","7173","7104","7120","7078","6886","6838","6680","6764","6468",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6372","6370","6092","6158","5968","6291","6063","6367","6332","6206","6229","5777",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"72507","71932","69783","66907","64501","64297","63332","63555","63947","61292","59396","56946",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"38137","38444","38001","36127","35774","35948","35977","36409","36349","35448","35142","35303",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14025","14140","13977","13258","12923","13456","13459","13949","13951","13801","13605","13191",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15327","15792","15692","15346","14791","14813","14068","14298","14115","13696","13024","13187",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23315","23787","23757","22966","22970","22988","23342","23545","23295","22933","22752","22616",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"34109","34576","34809","33269","32763","33309","33504","34006","34209","32883","32175","31775",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5520","5406","5466","5341","5309","5317","5237","5236","5104","5047","4795","4780",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"31973","32742","32077","30893","30091","29704","29045","29372","29522","29006","28352","27895",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"26022","26191","26058","25258","25359","24917","24027","23872","23900","23535","23338","22453",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"49342","48662","48405","47919","48238","47795","48129","47817","47532","46500","45775","44882",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24134","24149","23702","22745","22395","22783","22755","22610","22482","22487","21920","21463",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"24983","24486","23710","21927","21703","21164","21041","20935","20543","20173","19995","20003",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"33216","33087","32255","30836","30508","30303","30372","30292","30345","29753","29156","29511",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4460","4624","4444","4390","4405","4359","4635","4586","4573","4466","4241","4016",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8993","9140","9284","8703","8548","8635","8688","8840","8777","8583","8584","8289",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17288","16803","16324","15918","15597","15770","15865","16431","16934","17323","17185","17146",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4453","4495","4463","4275","4440","4262","4242","4147","4233","4130","3951","3946",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"39874","39462","38898","37830","37967","37645","36510","36646","36215","35504","34340","34204",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15850","15953","15510","14560","13994","14094","13712","13358","13453","12621","12287","11785",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"103098","103555","103050","101796","99288","98368","95218","94658","93734","90140","87228","84767",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"53927","55014","53665","51390","49237","49170","49299","49574","49548","48835","49164","48632",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2886","3003","2943","2977","3183","3278","3436","3680","3573","3599","3378","3392",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"63723","64522","63939","60903","59860","60719","60778","60620","60325","59320","59091","58331",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"22760","23145","22918","22232","21846","22299","22511","22512","22202","22225","21105","21010",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17336","17724","16678","16249","16124","15976","16232","16459","16452","16297","15759","15248",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"59841","60950","60033","59489","59761","59706","58603","58383","58081","56680","56451","55324",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5449","5284","5120","5031","4875","5074","4817","4918","4957","4850","4675","4582",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29299","30122","28871","27773","27018","27402","26879","27261","27043","25965","26298","26157",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4708","4634","4580","4437","4604","4671","4679","4632","4584","4526","4509","4290",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"37153","37696","36596","35062","35086","35476","35221","35911","35843","35228","35328","35160",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"165989","169318","170509","163648","158708","161108","163635","166754","167516","164551","156515","154645",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10848","11350","10452","10018","9564","9615","9656","9497","9556","9390","8988","9076",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2386","2458","2415","2440","2399","2441","2403","2421","2375","2266","2265","2093",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"38300","38215","37628","36537","36412","36306","35297","35066","35564","34851","34779","34665",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29502","30676","29974","28565","28555","28412","28355","28450","28576","28735","27665","26760",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8871","9021","9279","8995","9093","9323","9408","9111","8669","8584","8514","8340",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25790","26260","26227","25134","25001","25115","24657","25411","25113","24811","24523","23972",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2741","2785","2679","2568","2554","2559","2498","2555","2630","2425","2311","2183",,
"        Not reported (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"471606","455946","447357",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10","17",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108","116",,
"                Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"470537","454920",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22","16",,
"                Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Delaware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54","41",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","14",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19","23",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12",,,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16","24",,
"                Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Iowa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,
"                Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,
"                Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","11",,
"                Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11","14",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,
"                Mississippi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12","10",,
"                Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Nebraska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"219","219",,
"                New Hampshire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16","18",,
"                New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35","46",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18","18",,
"                North Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17","15",,
"                Oklahoma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Oregon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Rhode Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116",,,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11",,,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88","96",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26","27",,
"                Vermont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19","17",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53","43",,
"                West Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Wisconsin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Wyoming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    By mother's educational attainment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        8th grade or less (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"143828","160583","148575","150039","148471","141298","136144","137942","134256","132090","124613","117820","115785",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2054","2154","2240","1990","1856","2350",
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108","80","87","76","88","63","68",
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3204","2979","2751","2517","2394","2247",
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1029","999","928","872","860","799",
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"53058","48235","42110","36441","33010","29587","26121","24418","22389","20226","18261","16717","14910",
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3818","3630","3352","2831","2464","2137","1982","1780","1829","1646","1647","1465","1504",
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"812","842","766","729",
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"895","849","756","740","702","613","550","575","579","573","537","461","474",
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"507","441","436","352","334","344","308","283","275","257",
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13680","11803","10305","8829","7949","7383","7113","7040","7275","6695","6623","6404","6252",
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8381","7969","7047","6110","5265","4941","4961","5141","4894","4411","4086","4023",
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"195","170","157","149","137","137",
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"910","925","835","781","692","642","588","583","585","539","463","414","449",
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6765","6211","5465","4977","4582","4387","3994","3496","3162","2870",
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4993","4723","4646","4397","4152","4019","3934","3860","3975","3808","3827","3769","3854",
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1369","1315","1262","1179","1194","1158","1127","1219","1190","1291","1263","1204","1236",
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1667","1634","1611","1374","1307","1210","1193","1143","1178","1138","1047","1029","1078",
