"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4351","4262","3879","3421","3073","2863","2604","2448","2369","2078","1906","1800",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"924","902","765","722","629","629","560","484","468","392","353","334",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7255","7008","6408","5793","5358","4772","4188","3678","3374","3060","2837","2814",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4720","4540","4438","3872","3452","3275","2959","2543","2320","2019","1896","1724",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17621","17289","16306","15126","13718","12592","11128","9954","8961","8003","7480","6847",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15079","15136","14093","12309","11070","10077","9020","8280","7641","7190","6845","6303",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"696","666","663","659","647","603","563","564","527","469","368","372",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16362","16204","15445","13752","12338","11437","10352","9473","8755","8151","7788","7044",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7543","7494","7451","6496","6025","5844","5310","4802","4391","4250","3793","3492",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4343","4476","4063","3496","3134","2851","2594","2390","2284","2004","1809","1598",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13841","13724","12850","11959","10816","10049","8657","7892","7218","6385","5899","5599",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1192","1124","1051","891","831","760","659","590","530","474","414","411",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8329","8329","7651","6849","6026","5537","4763","4297","4021","3695","3408","3481",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1191","1117","1092","975","964","929","812","735","720","681","614","565",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11260","11157","10378","9254","8497","7910","7105","6756","6267","5766","5516","5258",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"54281","54284","52656","47751","42748","40451","37525","35063","32687","29765","26971","25089",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3775","3749","3349","3049","2542","2494","2254","2163","2021","1829","1801","1604",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"492","472","393","401","375","361","317","307","245","213","206","182",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9200","8801","8228","7374","6524","6076","5300","4859","4508","4114","3987","3803",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7430","7386","6866","6002","5530","5017","4386","4092","3773","3584","3191","2762",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2714","2772","2845","2608","2461","2407","2178","1972","1719","1555","1416","1317",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6243","6041","5798","5100","4504","4159","3692","3378","3040","2808","2564","2406",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"921","879","814","723","625","622","540","545","510","463","424","362",,
"         20-24 (People)","1226200","1212000","1205979","1160274","1141578","1141320","1102119","1075856","1067472","1077598","1093730","1089692","1070490","1038127","1001418","965547","945210","942048","965122","981929","1017806","1021627","1022106","1032305","1034454","1040388","1080437","1082354","1052184","1005982","951688","925200","916811","896745","882567","850509","803978","764780","726175","704342","663732"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20228","19980","18918","17745","17591","17100","17322","17092","16794","16066","15780","15268",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3316","3350","3146","3309","3252","2977","2997","2980","2723","2563","2259","2182",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"27875","26240","23972","22371","21898","21833","21699","21459","20664","19868","18551","17877",,
